,Symbol,Price,Gross Profit,EBITDA,trailingPE,enterpriseValue,bookValue,priceToBook,ebitda,priceToSalesTrailing12Months,EV/EBITDA,EV/Gross Profit,PE Percentile,PB Percentile,PS Percentile,EV/EBITDA Percentile,EV/Gross Profit Percentile,RV score,Num_shares_to_buy
10,HPE,20.059999465942383,10239000000.0,5058000000.0,14.226951,34885292032.0,17.004,1.1797224,4909000192.0,0.8977022,6.897052596283116,3.4070995245629456,0.14285714285714285,0.036363636363636355,0.0935064935064935,0.0779220779220779,0.051948051948051945,0.08051948051948052,498504
11,MPC,143.1300048828125,16506000000.0,18561000000.0,7.509444,76279324672.0,62.534,2.288835,13656999936.0,0.32199153,4.109655981466516,4.621308898097661,0.018181818181818177,0.23636363636363633,0.025974025974025972,0.012987012987012986,0.10909090909090909,0.08051948051948052,69866
12,UAL,80.45999908447266,15199000000.0,7832000000.0,9.589988,45656354816.0,34.779,2.313465,7482999808.0,0.47257495,5.829463076608785,3.003905179024936,0.03896103896103895,0.24155844155844153,0.04155844155844155,0.04675324675324675,0.04155844155844155,0.08207792207792208,124285
13,PSX,120.01000213623047,17336000000.0,12372000000.0,15.346547,68985839616.0,69.547,1.7255957,5571999744.0,0.3354777,5.575965051406402,3.9793400793724043,0.1688311688311688,0.10649350649350647,0.028571428571428567,0.03896103896103895,0.07012987012987013,0.0825974025974026,83326
14,APTV,56.369998931884766,3439000000.0,2534000000.0,6.277283,21806964736.0,37.797,1.4913882,3032999936.0,0.67168456,8.605747725335439,6.341077271299796,0.010389610389610388,0.06233766233766233,0.06753246753246753,0.11948051948051948,0.1948051948051948,0.0909090909090909,177399
15,NUE,143.55999755859375,7814394000.0,7687026000.0,13.817131,37110784000.0,86.58,1.6581196,4940151808.0,1.0863853,4.827716726858996,4.7490290353928915,0.13766233766233765,0.0935064935064935,0.11948051948051948,0.025974025974025972,0.11428571428571427,0.09818181818181818,69657
16,GM,50.959999084472656,19138000000.0,23202000000.0,5.438634,161414397952.0,64.486,0.79024905,18371000320.0,0.30667645,6.9569174188432035,8.434235445292089,0.007792207792207791,0.005194805194805194,0.020779220779220776,0.0805194805194805,0.3818181818181818,0.09922077922077921,196232
17,HII,189.22999572753906,1646000000.0,1295000000.0,10.697003,10214387712.0,107.414,1.7616884,1071000000.0,0.6324255,7.887558078764479,6.205581842041313,0.057142857142857134,0.11428571428571427,0.05974025974025974,0.10389610389610389,0.187012987012987,0.1044155844155844,52845
18,CMCSA,43.560001373291016,84810000000.0,38901000000.0,11.7412405,260002086912.0,22.37,1.9472507,37285998592.0,1.3543844,6.683686458240148,3.0657008243367527,0.08571428571428572,0.17142857142857143,0.174025974025974,0.06753246753246753,0.04415584415584415,0.10857142857142857,229568
19,DAL,58.38999938964844,14135000000.0,8783000000.0,8.0984745,58945683456.0,21.285,2.7432463,8415000064.0,0.6247692,6.711338205169077,4.170193382101167,0.020779220779220776,0.322077922077922,0.05454545454545454,0.07012987012987013,0.08571428571428572,0.11064935064935064,171262
20,DVN,38.31999969482422,5367000000.0,7546000000.0,6.9294753,29535983616.0,19.986,1.9173421,7464999936.0,1.7101345,3.9141245184203552,5.50325761430967,0.012987012987012986,0.161038961038961,0.24155844155844153,0.010389610389610388,0.14545454545454542,0.11428571428571425,260960
21,UHS,205.25999450683594,12749148000.0,1710678000.0,13.656687,18739177472.0,99.279,2.0675068,2124051968.0,0.8881674,10.954240056866341,1.46983762930668,0.12727272727272726,0.1896103896103896,0.0909090909090909,0.20779220779220778,0.002597402597402597,0.12363636363636363,48718
22,DG,81.76000213623047,11719024000.0,3295093000.0,12.715397,34971570176.0,33.014,2.476525,3025478912.0,0.4531659,10.613227054896479,2.9841708811245713,0.09610389610389608,0.2675324675324675,0.033766233766233764,0.19220779220779216,0.03896103896103895,0.1257142857142857,122309
23,STLD,133.64999389648438,4045883000.0,3733231000.0,12.018885,22611382272.0,58.947,2.2672908,2689149952.0,1.1519926,6.05678627226657,5.588738545331143,0.0883116883116883,0.22857142857142854,0.12467532467532466,0.051948051948051945,0.15064935064935064,0.12883116883116882,74822
24,T,22.1200008392334,72305000000.0,45329000000.0,17.98374,319982403584.0,14.266,1.5505399,42773000192.0,1.3003229,7.059110141057601,4.425453337722149,0.24155844155844153,0.07532467532467532,0.16363636363636364,0.08571428571428572,0.10129870129870129,0.13350649350649352,452079
25,LEN,169.66000366210938,5940984000.0,5549810000.0,11.273089,43130097664.0,101.062,1.6787715,5534482944.0,1.2535795,7.771454818092872,7.259756576351662,0.06493506493506493,0.10129870129870129,0.14545454545454542,0.10129870129870129,0.2701298701298701,0.1366233766233766,58941
