,Size,EntryBar,ExitBar,EntryPrice,ExitPrice,PnL,ReturnPct,EntryTime,ExitTime,Duration
0,1109,373,374,9.014960289001465,8.633639335632324,-422.88493728637695,-0.042298683648597346,2006-02-10 00:00:00+00:00,2006-02-13 00:00:00+00:00,3 days
1,1113,375,378,8.601011276245117,9.211971282958984,679.9984874725342,0.07103350839700218,2006-02-14 00:00:00+00:00,2006-02-17 00:00:00+00:00,3 days
2,1128,493,494,9.09042739868164,9.45356559753418,409.61988830566406,0.039947318528192,2006-08-03 00:00:00+00:00,2006-08-04 00:00:00+00:00,1 days
3,763,862,864,13.96540355682373,14.74000072479248,591.0176391601562,0.05546543390722625,2008-01-23 00:00:00+00:00,2008-01-25 00:00:00+00:00,2 days
4,806,866,869,13.959426879882812,13.167394638061523,-638.377986907959,-0.056738163295421584,2008-01-29 00:00:00+00:00,2008-02-01 00:00:00+00:00,3 days
5,837,870,875,12.679224967956543,12.96440601348877,238.69653511047363,0.02249199349746922,2008-02-04 00:00:00+00:00,2008-02-11 00:00:00+00:00,7 days
6,947,886,887,11.460293769836426,11.718576431274414,244.5936803817749,0.02253717632594987,2008-02-27 00:00:00+00:00,2008-02-28 00:00:00+00:00,1 days
7,988,890,896,11.231651306152344,10.959172248840332,-269.2093086242676,-0.024259928472205705,2008-03-04 00:00:00+00:00,2008-03-12 00:00:00+00:00,8 days
8,1013,900,901,10.684452056884766,10.986570358276367,306.0458393096924,0.02827644317023492,2008-03-18 00:00:00+00:00,2008-03-19 00:00:00+00:00,1 days
9,958,987,988,11.624428749084473,11.995288848876953,355.2839756011963,0.031903511802391815,2008-07-22 00:00:00+00:00,2008-07-23 00:00:00+00:00,1 days
10,1090,1021,1024,10.53974437713623,10.715086936950684,191.1233901977539,0.01663631996567405,2008-09-09 00:00:00+00:00,2008-09-12 00:00:00+00:00,3 days
11,1421,1042,1046,8.223177909851074,9.801511764526367,2242.8124074935913,0.1919372135661208,2008-10-08 00:00:00+00:00,2008-10-14 00:00:00+00:00,6 days
12,2130,1074,1075,6.538242816925049,6.706363201141357,358.0964183807373,0.02571338950292712,2008-11-21 00:00:00+00:00,2008-11-24 00:00:00+00:00,3 days
13,2134,1076,1077,6.6919169425964355,6.980834007263184,616.5490159988403,0.043174036250762216,2008-11-25 00:00:00+00:00,2008-11-26 00:00:00+00:00,1 days
14,1094,1367,1375,13.61372184753418,13.374868392944336,-261.30567932128906,-0.017545051769447317,2010-01-25 00:00:00+00:00,2010-02-04 00:00:00+00:00,10 days
